model,test,seed,field,n,threshold,nb_only,nn_only,nb_nn_mixed,no_nb_nn,nb_only_pct,nn_only_pct,nb_nn_mixed_pct,no_nb_nn_pct,mean_nb,mean_nn,mean_nb_minus_nn,mean_da,mean_sv,mean_other
original,flores_nno,123,reference,1012,0.5,2,1007,3,0,0.001976284584980237,0.9950592885375494,0.0029644268774703555,0.0,0.006034407033655183,0.997153448739748,-0.9911190417060928,0.000522873138172806,0.0005042827354124959,0.0007663631052421379
original,flores_nno,456,prediction,1012,0.5,984,5,13,10,0.9723320158102767,0.004940711462450593,0.012845849802371542,0.009881422924901186,0.9817662337345286,0.019247637343551643,0.962518596390977,0.013141331368668307,0.0012537368957666274,0.0008480156101408061
original,flores_nno,456,reference,1012,0.5,2,1007,3,0,0.001976284584980237,0.9950592885375494,0.0029644268774703555,0.0,0.006034407033655183,0.997153448739748,-0.9911190417060928,0.000522873138172806,0.0005042827354124959,0.0007663631052421379
original_subsampled,original,42,prediction,1742,0.5,1362,260,102,18,0.7818599311136625,0.14925373134328357,0.05855338691159587,0.010332950631458095,0.8361257904604078,0.2092618633821538,0.626863927078254,0.01884364021544757,0.007593198625811962,0.006508410813917812
original_subsampled,original,42,reference,1742,0.5,1328,299,104,11,0.7623421354764638,0.17164179104477612,0.05970149253731343,0.006314580941446613,0.8165272416246847,0.2332824244502609,0.5832448171744238,0.01656976923641718,0.005993264365612106,0.00516774315378256
original_subsampled,original,123,prediction,1742,0.5,1380,240,104,18,0.7921928817451206,0.1377726750861079,0.05970149253731343,0.010332950631458095,0.8471206281947505,0.19924870539238426,0.6478719228023663,0.017424660172376122,0.008277995270483876,0.0063606523063794865
original_subsampled,original,123,reference,1742,0.5,1328,299,104,11,0.7623421354764638,0.17164179104477612,0.05970149253731343,0.006314580941446613,0.8165272416246847,0.2332824244502609,0.5832448171744238,0.01656976923641718,0.005993264365612106,0.00516774315378256
original_subsampled,original,456,prediction,1742,0.5,1388,244,94,16,0.7967853042479908,0.14006888633754305,0.0539609644087256,0.009184845005740528,0.8466400735646247,0.19592968295578758,0.6507103906088371,0.017727298425963305,0.007745231403712273,0.00645714353567619
original_subsampled,original,456,reference,1742,0.5,1328,299,104,11,0.7623421354764638,0.17164179104477612,0.05970149253731343,0.006314580941446613,0.8165272416246847,0.2332824244502609,0.5832448171744238,0.01656976923641718,0.005993264365612106,0.00516774315378256
original_subsampled,bokmal,42,prediction,1313,0.5,1232,64,10,7,0.9383092155369384,0.048743335872048744,0.007616146230007616,0.005331302361005331,0.944843516828543,0.06484419498340589,0.8799993218451371,0.008359638650440055,0.0019380410401490299,0.0028589476795248835
